OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
77968|101|PLUMBERS LOCAL 130 U.A.|14893|0|0|14893|560839
77969|102|All Other Accounts|0|0|0|40519|560839
78129|101|Union Dues||||50220|561411
78130|102|All Other Accounts|||||561411
79004|102|All Other Accounts|||||562735
81197|102|All Other Accounts||||160787|583206
80271|102|All Other Accounts|||||579681
81018|101|Workers United, SEIU-NY|65430|875021|0|996415|582982
81023|102|All Other Accounts|0|0|0|14566|582982
81022|101|Amalgamated Life Ins.Co.(ALICO)|0|0|0|6528|582982
81021|101|Amalgamated Social Benefits Association|0|0|0|7319|582982
81020|101|SEIU Healthcare-Minnesota|0|0|0|8187|582982
81019|101|Amalgamated Life & Health Insurance Co.|0|0|0|11804|582982
82334|102|All Other Accounts|0|0|0|0|585642
83689|102|All Other Accounts|||||589268
80642|102|All Other Accounts|0|0|0|0|581579
82591|102|All Other Accounts||||298908|585884
79823|102|All Other Accounts||||0|574499
79732|102|All Other Accounts||||116613|574195
79299|102|All Other Accounts|0|0|0|0|572580
79677|102|All Other Accounts|0|0|0|0|573993
81336|101|NA||||0|583606
81328|101|NA||||0|583606
81335|101|NA||||0|583606
81334|101|NA||||0|583606
81333|101|NA||||0|583606
81332|101|NA||||0|583606
81331|101|NA||||0|583606
81330|101|NA||||0|583606
81329|101|NA||||0|583606
81340|102|All Other Accounts|0|0|0|0|583606
81339|101|NA||||0|583606
81338|101|NA||||0|583606
81337|101|NA||||0|583606
82826|102|All Other Accounts||||97918|586570
79105|101|FROM GENERAL MEMBERSHIP||||34762|562991
79106|102|All Other Accounts|||||562991
80544|102|All Other Accounts||||21953|581201
78516|102|All Other Accounts|342|9|9004|5474|561974
78515|101|NONE ITEMIZED|0|0|0|0|561974
81261|102|All Other Accounts||||189495|583388
82601|102|All Other Accounts|||||585951
82880|102|All Other Accounts|0|0|0|0|586765
77826|102|All Other Accounts|||||559703
80466|101|DUES RECEIVABLE|0|0|0|37598|580759
80469|102|All Other Accounts|||||580759
80468|101|purposes only.  It was not subjected to audit.)|0|0|0|0|580759
80467|101|(The information on this page is for disclosure|0|0|0|0|580759
84148|102|All Other Accounts|0|0|0|0|592143
79725|102|All Other Accounts|0|0|0|223282|574157
78087|102|All Other Accounts||||131968|561285
83594|102|All Other Accounts|0|0|0|0|587515
81153|101|Dues receivable from locals|0|0|0|270742|583165
81154|102|All Other Accounts|||||583165
80555|102|All Other Accounts|||||581211
86140|101|None|0|0|0|0|600202
86141|102|All Other Accounts|0|0|0|0|600202
79831|102|All Other Accounts||||24128|574554
79406|101|OSSINING TEACHERS ASSOCIATION|6913|0|0|25861|573263
79403|101|LANSING SCHOOL SERVICE ASSOCIATION|5498|0|0|8088|573263
79405|101|MOUNT MARKHAM TEACHERS ASSOCIATION|5807|0|0|11838|573263
79404|101|ALBANY COUNTY NURSING HOME PROF STAFF ASSN|5787|0|0|8680|573263
79431|102|All Other Accounts|112071|111439|0|5304822|573263
79430|101|NYSUT EDUCATION AND LEARNING TRUST|0|3752735|0|3859989|573263
79429|101|UNITED STAFF ASSOCIATION OF NYU|0|627297|0|627297|573263
79428|101|LONG ISLAND UNIVERSITY|0|7342|0|7342|573263
79427|101|GRAPHIC DESIGN, INC.|1308|5194|0|6503|573263
79426|101|AFT SUBSCRIPTION SERVICE|0|5527|0|5527|573263
79425|101|UNITY CAUCUS|19308|0|0|19308|573263
79424|101|MARY BASILE|0|6848|0|6848|573263
79423|101|MARSH AFFINITY|5080|3486|0|8566|573263
