OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
126338|102|All Other Accounts||||4198702|737701
125710|102|All Other Accounts|15549|580|69582|58357|736181
126071|101|ACCOUNTS RECEIVABLE (ESTIMATED & NOT AUDITED)|2387|150|3343|11566|736572
126072|102|All Other Accounts|||||736572
125126|102|All Other Accounts|||||735611
124752|101|NONE ITEMIZED|0|0|0|0|734116
124753|102|All Other Accounts|0|0|0|13992|734116
125964|102|All Other Accounts|0|0|0|34745|736455
125931|102|All Other Accounts|||||736413
125958|101|ACCOUNTS RECEIVABLE (ESTIMATED & NOT AUDITED)|35804|157848|5142|237357|736442
125959|102|All Other Accounts|||||736442
124995|102|All Other Accounts|||||735196
126076|101| June Membership Dues||||65565|736581
126077|102|All Other Accounts|||||736581
126386|101|ACCOUNTS RECEIVABLE FROM PERSONIFY|25492|89308|7099|154205|737880
126387|102|All Other Accounts|||||737880
124721|101|ACCOUNTS RECEIVABLE (ESTIMATED & NOT AUDITED)|54614|205112|10131|331809|733937
124722|102|All Other Accounts|||||733937
125927|101|ACCOUNTS RECEIVABLE (ESTIMATED & NOT AUDITED)|34338|135139|7208|214493|736399
125928|102|All Other Accounts|||||736399
126354|102|All Other Accounts|35802|28789|78034|148304|737775
125240|101|None|0|0|0|0|735839
125241|102|All Other Accounts|||||735839
125831|101|UTNO||||8362|736356
125842|102|All Other Accounts||||52379|736356
125841|101|United Federation of College Teachers||||5850|736356
125840|101|Tangipahoa Federation of Teachers||||20061|736356
125839|101|St. Tammany Federation of Teachers||||22337|736356
125838|101|Red River United||||54574|736356
125837|101|Rapides Federation of Teachers||||7951|736356
125836|101|Livingston Federation of Teachers||||10313|736356
125835|101|Jefferson Federation of Teachers||||87837|736356
125834|101|Iberville Federation of Teachers||||10607|736356
125833|101|East Baton Rouge Federation of Teachers||||34140|736356
125832|101|Calcasieu Federation of Teachers||||13640|736356
125711|102|All Other Accounts|7345|2134|37779|32524|736183
126947|102|All Other Accounts|||||739498
126168|102|All Other Accounts|0|0||0|736759
126759|101|INSURANCE TRUST||||79|738763
126760|102|All Other Accounts|||||738763
126877|102|All Other Accounts||||72250|738989
126726|102|All Other Accounts|||||738631
126658|102|All Other Accounts|||||738322
124923|101|FROM GENERAL MEMBERSHIP|0|0|0|48428|734953
124925|102|All Other Accounts|0|0|0|0|734953
124924|101|RENT RECEIVABLE|0|0|0|1800|734953
125000|101|NONE ITEMIZED|0|0|0|0|735217
125001|102|All Other Accounts|436|0|8334|2298|735217
126919|102|All Other Accounts|||||739150
126826|101|CWA||||307889|738899
126827|102|All Other Accounts|||||738899
124957|102|All Other Accounts||||94570|735064
126787|102|All Other Accounts||||6500|738832
